,Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),Total time (s),RUL
0,1,2595.3,1151.4885,3.67,3.211,5460.001,6755.01,10777.82,14648.45,1112
1,2,7408.64,1172.5125,4.246,3.22,5508.992,6762.02,10500.35,19124.28,1111
2,3,7393.76,1112.992,4.249,3.224,5508.993,6762.02,10420.38,19029.51,1110
3,4,7385.5,1080.320667,4.25,3.225,5502.016,6762.02,10322.81,18923.65,1109
4,6,65022.75,29813.487,4.29,3.398,5480.992,53213.54,56699.65,104171.8,1107
5,7,3301.18,1194.235077,3.674,3.504,5023.633636,5977.38,5977.38,9479.42,1106
6,8,5955.3,1220.135329,4.013,3.501,5017.495,5967.55,5967.55,12103.62,1105
7,9,5951.2,1220.135329,4.014,3.501,5017.496,5962.21,5962.21,12093.99,1104
8,10,5945.44,1216.920914,4.014,3.501,5009.993667,5954.91,5954.91,12081.02,1103
9,11,435251.49,263086.078,4.267,3.086,269.984,443700.02,443700.02,476191.3,1102
10,12,3228.58,1135.349333,3.689,3.485,5033.075692,5969.89,5969.89,9399,1101
11,13,6019.9,1058.279724,4.045,3.475,5053.842846,5980.77,5980.77,12181.35,1100
12,14,6026.59,1049.487845,4.047,3.477,5046.4295,5966.82,5966.82,12173.95,1099
13,15,6008.07,1065.372059,4.045,3.48,5033.075769,5954.47,5954.47,12143.2,1098
14,16,423271.35,168773.265,4.27,3.108,219923.996,430028.84,430028.84,462520.24,1097
15,17,2261.34,883.2,4.038,3.901,1949.664,2922.69,6070.11,8346.6,1096
16,18,2259.46,883.199,4.042,3.373,5181.377,6161.38,9310.98,11575.36,1095
17,19,2256.61,878.4,4.042,3.374,5181.375,6154.37,9296.64,11558.14,1094
18,20,2252.83,873.601,4.043,3.374,5174.334,6147.33,9243.58,11501.47,1093
19,21,2250.62,868.801,4.044,3.374,5160.289,6140.29,9245.53,11501.22,1092
20,22,2248.6,868.797,4.044,3.375,5160.321,6133.34,9248.32,11502.04,1091
21,23,2245.05,864,4.044,3.374,5153.414,6126.4,9215.78,11465.86,1090
22,24,2242.53,861.594,4.044,3.376,5146.368,6119.36,9190.62,11438.21,1089
23,25,2239.56,859.196,4.044,3.377,5139.368,6112.36,9179.43,11424.04,1088
24,26,2237.35,856.797,4.044,3.377,5132.25,6105.27,9181.21,11423.61,1087
25,27,2236.26,856.796,4.045,3.377,5125.344,6098.34,9198.3,11439.52,1086
26,28,2234.38,852,4.045,3.378,5118.368,6091.36,9176.38,11415.78,1085
27,29,2232.16,852,4.045,3.378,5111.328,6084.33,9145.58,11382.97,1084
28,30,2230.78,849.609,4.045,3.377,5111.266,6084.25,9137.28,11373.12,1083
29,31,2229.16,849.594,4.045,3.377,5104.359,6077.38,9131.56,11365.83,1082
30,32,2227.64,847.172,4.045,3.378,5097.344,6077.34,9142.98,11375.7,1081
31,33,2226.38,847.203,4.045,3.377,5090.36,6070.36,9149.66,11380.97,1080
32,34,2223.88,844.797,4.045,3.378,5090.312,6063.3,9133.25,11362.17,1079
33,35,2222.62,840,4.045,3.379,5083.359,6056.36,9112.39,11340.1,1078
34,36,2221.02,842.406,4.046,3.378,5076.266,6049.28,9112.14,11338.23,1077
35,37,2220.19,840,4.046,3.378,5076.344,6049.38,9136.16,11361.35,1076
36,38,2218.41,837.594,4.046,3.393,5069.313,6042.31,9101.06,11326.89,1075
37,39,2216.89,835.203,4.046,3.379,5062.375,6035.36,9112.24,11334.17,1074
38,40,2214.97,825.594,4.025,3.604,5026.312,5999,9212.78,54631.87,1073
39,41,2219.75,828,4.041,3.686,5020.312,6000.31,9174.41,11409.85,1072
40,42,2222.5,835.188,4.045,3.382,5058.797,6035.28,9125.16,11352.68,1071
41,43,2220.53,832.813,4.045,3.379,5069.375,6049.38,9155.72,11381.29,1070
42,44,2217.28,830.407,4.045,3.379,5062.375,6035.38,9115.94,11338.15,1069
43,45,2214.66,828,4.045,3.381,5048.343,6028.34,9122.81,11342.6,1068
44,46,2211.25,828,4.044,3.381,5041.25,6021.25,9074.06,11290.31,1067
45,47,2210.59,828,4.045,3.381,5034.375,6014.38,9118.03,11333.65,1066
